Metric,Value
Accuracy,0.7904430379746835
Precision,0.9157528501755149
Recall,0.803242506811989
F1 Score,0.8558157088734377
ROC AUC,0.8396216532124577
Balanced Accuracy,0.7748922814433776
Sensitivity,0.803242506811989
Specificity,0.7465420560747663
False Positive Rate,0.25345794392523363
False Negative Rate,0.1967574931880109
True Positive Rate,0.803242506811989
True Negative Rate,0.7465420560747663
Log Loss,0.48073290381157957
Matthews Correlation Coefficient,0.4923794267114387
Cohen Kappa,0.4783770249519729
