Metric,Value
Accuracy,0.8168565400843882
Precision,0.9467742449851708
Recall,0.8089373297002724
F1 Score,0.8724451562660711
ROC AUC,0.8979406873106013
Balanced Accuracy,0.8264780106445287
Sensitivity,0.8089373297002724
Specificity,0.8440186915887851
False Positive Rate,0.15598130841121496
False Negative Rate,0.1910626702997275
True Positive Rate,0.8089373297002724
True Negative Rate,0.8440186915887851
Log Loss,0.4945255517959595
Matthews Correlation Coefficient,0.5768976997830051
Cohen Kappa,0.5548195495392179
