Feature,Importance
contrast_7_std,0.2996123
contrast_7_mean,0.04198206
mfcc_13_std,0.033030927
mfcc_11_std,0.032909967
mfcc_12_std,0.024585946
contrast_6_std,0.023657937
mfcc_7_mean,0.021913867
mfcc_2_std,0.021140998
zcr_std,0.020035772
mfcc_3_std,0.018686384
contrast_6_mean,0.01850102
contrast_5_mean,0.018111624
mfcc_4_mean,0.017336028
mfcc_1_mean,0.017154807
bandwidth_mean,0.015868621
mfcc_4_std,0.013700592
chroma_3_mean,0.013622093
contrast_4_mean,0.012542728
mfcc_9_std,0.0103612235
mfcc_8_mean,0.010346605
contrast_5_std,0.010038271
chroma_7_mean,0.009873333
rms_std,0.009609596
rms_mean,0.009059135
chroma_6_mean,0.008972517
mfcc_11_mean,0.0087265475
mfcc_2_mean,0.008701598
mfcc_5_mean,0.008695358
mfcc_3_mean,0.008359594
zcr_mean,0.008344965
centroid_std,0.008274451
contrast_1_std,0.00784041
contrast_2_mean,0.007383516
mfcc_13_mean,0.0071570994
mfcc_5_std,0.006456545
chroma_1_mean,0.0063901357
mfcc_12_mean,0.006312649
mfcc_10_mean,0.0062928074
rolloff_mean,0.006289095
mfcc_1_std,0.006114014
mfcc_10_std,0.006086061
mfcc_8_std,0.0060074697
contrast_3_mean,0.0059436373
bandwidth_std,0.0056412425
chroma_11_mean,0.0055455375
contrast_3_std,0.0054515814
chroma_1_std,0.00537888
contrast_2_std,0.005354136
chroma_3_std,0.005305279
mfcc_9_mean,0.005248062
chroma_2_mean,0.0052360455
centroid_mean,0.0050723697
mfcc_6_mean,0.005056025
rolloff_std,0.0050547975
contrast_1_mean,0.0049626636
chroma_12_mean,0.0047539123
chroma_8_mean,0.0047371546
mfcc_6_std,0.0047142897
chroma_7_std,0.004619087
contrast_4_std,0.0043166485
chroma_4_mean,0.004239281
chroma_11_std,0.0041984003
chroma_12_std,0.0041702865
chroma_5_std,0.004000056
chroma_8_std,0.0039394065
chroma_2_std,0.0039056814
chroma_6_std,0.0037996995
chroma_9_std,0.003624146
chroma_4_std,0.0036113127
chroma_10_mean,0.0033872328
chroma_5_mean,0.0033825897
chroma_10_std,0.0033778325
mfcc_7_std,0.0031014837
chroma_9_mean,0.0027845118
