Metric,Value
Accuracy,0.8158649789029536
Precision,0.9461244019138756
Recall,0.8082016348773842
F1 Score,0.8717413666421748
ROC AUC,0.8976395770200413
Balanced Accuracy,0.8251755837938323
Sensitivity,0.8082016348773842
Specificity,0.8421495327102804
False Positive Rate,0.15785046728971963
False Negative Rate,0.1917983651226158
True Positive Rate,0.8082016348773842
True Negative Rate,0.8421495327102804
Log Loss,0.4979338049888611
Matthews Correlation Coefficient,0.5745350843373825
Cohen Kappa,0.5524974039460021
